ent_038109	rel_0146	ent_057017
ent_109704	rel_0448	ent_190504
ent_071941	rel_0342	ent_185280
ent_129301	rel_0397	ent_108753
ent_025928	rel_0039	ent_015706
ent_092657	rel_0459	ent_214177
ent_230960	rel_0492	ent_189607
ent_164595	rel_0175	ent_128800
ent_078230	rel_0050	ent_122901
ent_013825	rel_0343	ent_156598
ent_192156	rel_0056	ent_074421
ent_036071	rel_0389	ent_203140
ent_199189	rel_0110	ent_205069
ent_037451	rel_0006	ent_241347
ent_150471	rel_0339	ent_164970
ent_141440	rel_0146	ent_222563
ent_046713	rel_0448	ent_059070
ent_184104	rel_0342	ent_246545
ent_178315	rel_0397	ent_121749
ent_072170	rel_0039	ent_105496
ent_007257	rel_0459	ent_171222
ent_157298	rel_0492	ent_083168
ent_055510	rel_0175	ent_164683
ent_137175	rel_0050	ent_125077
ent_154271	rel_0343	ent_156598
ent_240368	rel_0056	ent_221221
ent_018091	rel_0389	ent_209744
ent_080590	rel_0110	ent_163248
ent_075366	rel_0146	ent_019789
ent_247379	rel_0448	ent_001360
ent_024218	rel_0342	ent_149007
ent_169439	rel_0397	ent_191669
ent_041820	rel_0039	ent_220501
ent_144321	rel_0459	ent_220951
ent_147628	rel_0492	ent_189607
ent_046515	rel_0050	ent_000239
ent_043354	rel_0343	ent_220951
ent_010756	rel_0389	ent_207044
ent_063596	rel_0110	ent_220610
ent_212966	rel_0146	ent_159710
ent_043278	rel_0448	ent_227013
ent_169728	rel_0342	ent_138189
ent_036583	rel_0397	ent_118350
ent_233826	rel_0039	ent_220501
ent_048319	rel_0459	ent_144295
ent_102629	rel_0492	ent_071523
ent_110206	rel_0050	ent_125077
ent_093660	rel_0343	ent_037707
ent_011324	rel_0389	ent_126196
ent_118146	rel_0110	ent_163248
ent_067174	rel_0146	ent_247832
ent_181421	rel_0448	ent_121361
ent_027153	rel_0342	ent_066519
ent_174642	rel_0397	ent_195262
ent_193145	rel_0039	ent_197490
ent_100323	rel_0459	ent_246959
ent_095150	rel_0492	ent_020522
ent_169968	rel_0050	ent_125077
ent_184249	rel_0389	ent_207044
ent_227916	rel_0110	ent_205069
ent_047744	rel_0448	ent_210574
ent_225476	rel_0342	ent_180927
ent_234481	rel_0397	ent_249656
ent_206084	rel_0039	ent_100234
ent_077966	rel_0459	ent_171222
ent_051873	rel_0492	ent_020522
ent_107623	rel_0050	ent_000239
ent_038692	rel_0110	ent_163248
ent_100525	rel_0448	ent_132879
ent_207111	rel_0342	ent_112282
ent_185247	rel_0397	ent_191669
ent_123886	rel_0039	ent_211727
ent_116390	rel_0459	ent_098356
ent_121114	rel_0492	ent_160421
ent_099447	rel_0110	ent_243234
ent_224055	rel_0448	ent_006839
ent_104741	rel_0342	ent_184474
ent_008189	rel_0397	ent_106034
ent_166665	rel_0039	ent_235345
ent_109882	rel_0459	ent_201096
ent_023854	rel_0492	ent_083168
ent_247629	rel_0110	ent_212849
ent_174034	rel_0448	ent_170373
ent_129890	rel_0039	ent_220501
ent_115017	rel_0492	ent_071523
ent_123149	rel_0448	ent_225448
ent_223698	rel_0039	ent_051498
ent_101468	rel_0492	ent_020522
ent_002147	rel_0448	ent_225448
ent_241469	rel_0039	ent_220501
ent_054175	rel_0459	ent_218245
ent_170403	rel_0492	ent_071523
ent_170847	rel_0448	ent_101950
ent_231524	rel_0039	ent_111350
ent_185446	rel_0459	ent_218245
ent_095399	rel_0492	ent_160421
ent_247626	rel_0448	ent_077698
ent_111280	rel_0039	ent_079077
ent_169972	rel_0492	ent_160421
ent_049223	rel_0448	ent_086967
ent_038137	rel_0039	ent_157300
ent_095994	rel_0492	ent_071523
ent_041766	rel_0397	ent_106034
ent_228307	rel_0397	ent_164762
ent_011102	rel_0397	ent_106034
ent_056635	rel_0397	ent_179810
ent_167552	rel_0342	ent_224749
